Timestamp for sample frequency every 15 min,Temperature (°C)
2024-07-03 08:49:00,34.4300
2024-07-03 09:04:00,35.1775
2024-07-03 09:19:00,35.2750
2024-07-03 09:34:00,35.7625
2024-07-03 09:49:00,36.0525
2024-07-03 10:04:00,36.2650
2024-07-03 10:19:00,36.4500
2024-07-03 10:34:00,36.5350
2024-07-03 10:49:00,37.1200
2024-07-03 11:04:00,37.2500
2024-07-03 11:19:00,37.7225
2024-07-03 11:34:00,37.9825
2024-07-03 11:49:00,38.7325
2024-07-03 12:04:00,38.6100
2024-07-03 12:19:00,38.7950
2024-07-03 12:34:00,39.1000
2024-07-03 12:49:00,39.9250
2024-07-03 13:04:00,40.1650
2024-07-03 13:19:00,40.5200
2024-07-03 13:34:00,41.2950
2024-07-03 13:49:00,41.2925
2024-07-03 14:04:00,41.4250
2024-07-03 14:19:00,41.4975
2024-07-03 14:34:00,41.7175
2024-07-03 14:49:00,41.6025
2024-07-03 15:04:00,41.5325
2024-07-03 15:19:00,41.3000
2024-07-03 15:34:00,41.4925
2024-07-03 15:49:00,42.1100
2024-07-03 16:04:00,42.1825
2024-07-03 16:19:00,42.0375
2024-07-03 16:34:00,42.4100
2024-07-03 16:49:00,41.6500
2024-07-03 17:04:00,41.4575
2024-07-03 17:19:00,42.0150
2024-07-03 17:34:00,41.9675
2024-07-03 17:49:00,41.5025
2024-07-03 18:04:00,40.7725
2024-07-03 18:19:00,40.0125
2024-07-03 18:34:00,39.2225
2024-07-03 18:49:00,38.3525
2024-07-03 19:04:00,37.3350
2024-07-03 19:19:00,36.4975
2024-07-03 19:34:00,35.4775
2024-07-03 19:49:00,34.5800
2024-07-03 20:04:00,33.7625
2024-07-03 20:19:00,32.9050
2024-07-03 20:34:00,32.1575
2024-07-03 20:49:00,31.2250
2024-07-03 21:04:00,30.4075
2024-07-03 21:19:00,29.5300
2024-07-03 21:34:00,28.8500
2024-07-03 21:49:00,28.2675
2024-07-03 22:04:00,27.7425
2024-07-03 22:19:00,27.3350
2024-07-03 22:34:00,26.7475
2024-07-03 22:49:00,26.2400
2024-07-03 23:04:00,25.7825
2024-07-03 23:19:00,25.5650
2024-07-03 23:34:00,25.5775
2024-07-03 23:49:00,25.4925
2024-07-04 00:04:00,24.9750
2024-07-04 00:19:00,25.0000
2024-07-04 00:34:00,24.9250
2024-07-04 00:49:00,24.6525
2024-07-04 01:04:00,24.2275
2024-07-04 01:19:00,24.4275
2024-07-04 01:34:00,24.0275
2024-07-04 01:49:00,23.5250
2024-07-04 02:04:00,22.9050
2024-07-04 02:19:00,22.6275
2024-07-04 02:34:00,21.9925
2024-07-04 02:49:00,21.6300
2024-07-04 03:04:00,21.3450
2024-07-04 03:19:00,21.2125
2024-07-04 03:34:00,21.1500
2024-07-04 03:49:00,20.8975
2024-07-04 04:04:00,20.4750
2024-07-04 04:19:00,19.9750
2024-07-04 04:34:00,19.8625
2024-07-04 04:49:00,20.1125
2024-07-04 05:04:00,20.0950
2024-07-04 05:19:00,19.8200
2024-07-04 05:34:00,19.6750
2024-07-04 05:49:00,19.7350
2024-07-04 06:04:00,19.9175
2024-07-04 06:19:00,20.0075
2024-07-04 06:34:00,20.1725
2024-07-04 06:49:00,21.5725
2024-07-04 07:04:00,22.7750
2024-07-04 07:19:00,23.9475
2024-07-04 07:34:00,24.8500
2024-07-04 07:49:00,25.4050
2024-07-04 08:04:00,26.1250
2024-07-04 08:19:00,26.8150
2024-07-04 08:34:00,27.5050
2024-07-04 08:49:00,27.9275
2024-07-04 09:04:00,28.8475
2024-07-04 09:19:00,29.7850
2024-07-04 09:34:00,30.6350
2024-07-04 09:49:00,31.1950
2024-07-04 10:04:00,31.7050
2024-07-04 10:19:00,32.3000
2024-07-04 10:34:00,32.8450
2024-07-04 10:49:00,33.3950
2024-07-04 11:04:00,34.0325
2024-07-04 11:19:00,34.3575
2024-07-04 11:34:00,35.3350
2024-07-04 11:49:00,35.6825
2024-07-04 12:04:00,36.2775
2024-07-04 12:19:00,37.1275
2024-07-04 12:34:00,37.0225
2024-07-04 12:49:00,37.7100
2024-07-04 13:04:00,38.0075
2024-07-04 13:19:00,38.6775
2024-07-04 13:34:00,39.1375
2024-07-04 13:49:00,40.1350
2024-07-04 14:04:00,39.4600
2024-07-04 14:19:00,39.3925
2024-07-04 14:34:00,39.5050
2024-07-04 14:49:00,39.6025
2024-07-04 15:04:00,39.4600
2024-07-04 15:19:00,39.5150
2024-07-04 15:34:00,39.9375
2024-07-04 15:49:00,39.2425
2024-07-04 16:04:00,39.3000
2024-07-04 16:19:00,37.8550
2024-07-04 16:34:00,37.8700
2024-07-04 16:49:00,37.3700
2024-07-04 17:04:00,37.7200
2024-07-04 17:19:00,36.9575
2024-07-04 17:34:00,36.3500
2024-07-04 17:49:00,36.3225
2024-07-04 18:04:00,35.8325
2024-07-04 18:19:00,34.8150
2024-07-04 18:34:00,34.3150
2024-07-04 18:49:00,33.6775
2024-07-04 19:04:00,33.2600
2024-07-04 19:19:00,32.9300
2024-07-04 19:34:00,32.4350
2024-07-04 19:49:00,31.9275
2024-07-04 20:04:00,31.1650
2024-07-04 20:19:00,30.4000
2024-07-04 20:34:00,29.6725
2024-07-04 20:49:00,28.9900
2024-07-04 21:04:00,28.3525
2024-07-04 21:19:00,27.8050
2024-07-04 21:34:00,27.3450
2024-07-04 21:49:00,26.9975
2024-07-04 22:04:00,26.4975
2024-07-04 22:19:00,26.0425
2024-07-04 22:34:00,25.5125
